"id","code","name","aliquot","tax_id:id"
ncm_159,"0301.93.90","Outras","",tax_4
ncm_161,"0301.94.10","Para reprodução ","",tax_4
ncm_162,"0301.94.90","Outras ","",tax_4
ncm_164,"0301.95.10","Para reprodução ","",tax_4
ncm_165,"0301.95.90","Outros ","",tax_4
ncm_168,"0301.99.11","Tilápias (Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)","",tax_4
ncm_169,"0301.99.12","Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)","",tax_4
ncm_170,"0301.99.19","Outros","",tax_4
ncm_172,"0301.99.91","Tilápias (Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)","",tax_4
ncm_173,"0301.99.92","Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)","",tax_4
ncm_174,"0301.99.99","Outros","",tax_4
ncm_177,"0302.11.00","Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)","0",tax_4
ncm_178,"0302.12.00","Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmões-do-atlântico (Salmo salar) e salmões-do-danúbio (Hucho hucho)","0",tax_4
ncm_179,"0302.19.00","Outros","0",tax_4
ncm_181,"0302.21.00","Linguados-gigantes (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","0",tax_4
ncm_182,"0302.22.00","Solhas ou patruças (Pleuronectes platessa)","0",tax_4
ncm_183,"0302.23.00","Linguados (Solea spp.)","0",tax_4
ncm_184,"0302.29.00","Outros","0",tax_4
ncm_186,"0302.31.00","Atuns-brancos ou germões (Thunnus alalunga)","0",tax_4
ncm_187,"0302.32.00","Albacoras ou atuns-de-barbatanas-amarelas (Thunnus albacares)","0",tax_4
ncm_188,"0302.33.00","Bonitos-listrados ou bonitos-de-ventre-raiado","0",tax_4
ncm_189,"0302.34.00","Albacoras-bandolim (Thunnus obesus)","0",tax_4
ncm_190,"0302.35.00","Albacoras-azuis (Thunnus thynnus)","0",tax_4
ncm_191,"0302.36.00","Atuns-do-sul (Thunnus maccoyii)","0",tax_4
ncm_192,"0302.39.00","Outros","0",tax_4
ncm_193,"0302.40.00","Arenques (Clupea harengus, Clupea pallasii), exceto os fígados, ovas e sêmen","0",tax_4
ncm_194,"0302.50.00","Bacalhaus (Gadus morhua, Gadus ogac, Gadus macrocephalus), exceto os fígados, ovas e sêmen","0",tax_4
ncm_196,"0302.61.00","Sardinhas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) e espadilhas (Sprattus sprattus)","0",tax_4
ncm_197,"0302.62.00","Haddocks (Melanogrammus aeglefinus)","0",tax_4
ncm_198,"0302.63.00","Saithes (Pollachius virens)","0",tax_4
ncm_199,"0302.64.00","Cavalas e cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus)","0",tax_4
ncm_200,"0302.65.00","Esqualos","0",tax_4
ncm_201,"0302.66.00","Enguias (Anguilla spp.)","0",tax_4
ncm_202,"0302.67.00","Espadartes (Xiphias gladius)","0",tax_4
ncm_204,"0302.68.10","Marlongas-negras (Dissostichus eleginoides)","0",tax_4
ncm_205,"0302.68.20","Marlongas-do-antártico (Dissostichus mawsoni)","0",tax_4
ncm_207,"0302.69.10","Merluzas (Merluccius spp.)","0",tax_4
ncm_209,"0302.69.22","Agulhões (Istiophorus spp., Tetrapturus spp., Makaira spp.)","0",tax_4
ncm_210,"0302.69.23","Pargos (Lutjanus purpureus)","0",tax_4
ncm_212,"0302.69.31","Chernes-poveiro (Polyprion americanus)","0",tax_4
ncm_213,"0302.69.32","Garoupas (Acanthistius spp.)","0",tax_4
ncm_214,"0302.69.33","Esturjões (Acipenser baeri)","0",tax_4
ncm_215,"0302.69.34","Peixes-rei (Atherinidae spp.)","0",tax_4
ncm_216,"0302.69.35","Bagres (Ictalurus puntactus)","0",tax_4
ncm_218,"0302.69.41","Curimatãs (Prochilodus spp.)","0",tax_4
ncm_219,"0302.69.42","Tilápias (Oreochromis spp., Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)","0",tax_4
ncm_220,"0302.69.43","Surubins (Pseudoplatystoma spp.)","0",tax_4
ncm_221,"0302.69.44","Traíras (Hoplias malabaricus & H. cf. lacerdae)","0",tax_4
ncm_222,"0302.69.45","Piaus (Leporinus spp.)","0",tax_4
ncm_223,"0302.69.46","Tainhas (Mugil spp.)","0",tax_4
ncm_224,"0302.69.47","Pirarucus (Arapaima gigas)","0",tax_4
ncm_225,"0302.69.48","Pescadas (Cynocion spp.)","0",tax_4
ncm_226,"0302.69.49","Anchoitas (Engraulis anchoita)","0",tax_4
ncm_228,"0302.69.51","Piramutabas (Brachyplatistoma vaillianti)","0",tax_4
ncm_229,"0302.69.52","Douradas (Brachyplatistoma flavicans)","0",tax_4
ncm_230,"0302.69.53","Pacus (Piaractus mesopotamicus)","0",tax_4
ncm_231,"0302.69.54","Tambaquis (Colossoma macropomum)","0",tax_4
ncm_232,"0302.69.55","Tambacus (híbridos de tambaquis e pacus)","0",tax_4
ncm_233,"0302.69.90","Outros","0",tax_4
ncm_234,"0302.70.00","Fígados, ovas e sêmen","0",tax_4
ncm_237,"0303.11.00","Salmões vermelhos (Oncorhynchus nerka)","0",tax_4
ncm_238,"0303.19.00","Outros","0",tax_4
ncm_240,"0303.21.00","Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)","0",tax_4
ncm_241,"0303.22.00","Salmões-do-atlântico (Salmo salar) e salmões-do-danúbio (Hucho hucho)","0",tax_4
ncm_242,"0303.29.00","Outros","0",tax_4
ncm_244,"0303.31.00","Linguados-gigantes (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","0",tax_4
ncm_245,"0303.32.00","Solhas ou patruças (Pleuronectes platessa)","0",tax_4
ncm_246,"0303.33.00","Linguados (Solea spp.)","0",tax_4
ncm_247,"0303.39.00","Outros","0",tax_4
ncm_249,"0303.41.00","Atuns-brancos ou germões (Thunnus alalunga)","0",tax_4
ncm_250,"0303.42.00","Albacoras ou atuns-de-barbatanas-amarelas (Thunnus albacares)","0",tax_4
ncm_251,"0303.43.00","Bonitos-listrados ou bonitos-de-ventre-raiado","0",tax_4
ncm_252,"0303.44.00","Albacoras-bandolim (Thunnus obesus)","0",tax_4
ncm_253,"0303.45.00","Albacoras-azuis (Thunnus thynnus)","0",tax_4
ncm_254,"0303.46.00","Atuns do sul (Thunnus maccoyii)","0",tax_4
ncm_255,"0303.49.00","Outros","0",tax_4
ncm_257,"0303.51.00","Arenques (Clupea harengus, Clupea pallasii)","0",tax_4
ncm_258,"0303.52.00","Bacalhaus (Gadus morhua, Gadus ogac, Gadus macrocephalus)","0",tax_4
ncm_260,"0303.61.00","Espadartes (Xiphias gladius)","0",tax_4
ncm_263,"0303.62.11","Evisceradas, sem cabeça e sem cauda","0",tax_4
ncm_264,"0303.62.12","Cabeças","0",tax_4
ncm_265,"0303.62.19","Outras","0",tax_4
ncm_267,"0303.62.21","Evisceradas, sem cabeça e sem cauda","0",tax_4
ncm_268,"0303.62.22","Cabeças","0",tax_4
ncm_269,"0303.62.29","Outras","0",tax_4
ncm_270,"0303.62.90","Outras","0",tax_4
ncm_272,"0303.71.00","Sardinhas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) e espadilhas (Sprattus sprattus)","0",tax_4
ncm_273,"0303.72.00","Haddocks (Melanogrammus aeglefinus)","0",tax_4
ncm_274,"0303.73.00","Saithes (Pollachius virens)","0",tax_4
ncm_275,"0303.74.00","Cavalas e cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus)","0",tax_4
ncm_278,"0303.75.11","Inteiros","0",tax_4
ncm_279,"0303.75.12","Eviscerados, sem cabeça e sem barbatanas","0",tax_4
ncm_280,"0303.75.13","Em pedaços, com pele","0",tax_4
ncm_281,"0303.75.14","Em pedaços, sem pele","0",tax_4
ncm_282,"0303.75.19","Outros","0",tax_4
ncm_283,"0303.75.90","Outros","0",tax_4
ncm_284,"0303.76.00","Enguias (Anguilla spp.)","0",tax_4
ncm_285,"0303.77.00","Percas (Dicentrarchus labrax, Dicentrarchus punctatus)","0",tax_4
ncm_286,"0303.78.00","Merluzas (Merluccius spp.) e abróteas (Urophycis spp.)","0",tax_4
ncm_288,"0303.79.10","Corvinas (Micropogonias furnieri)","0",tax_4
ncm_289,"0303.79.20","Pescadas (Cynoscion spp.)","0",tax_4
ncm_291,"0303.79.32","Agulhões (Istiophorus spp., Tetrapturus spp., Makaira spp.)","0",tax_4
ncm_292,"0303.79.33","Pargos (Lutjanus purpureus)","0",tax_4
ncm_293,"0303.79.34","Peixes-sapo (Lophius gastrophysus)","0",tax_4
ncm_295,"0303.79.41","Chernes-poveiro (Polyprion americanus)","0",tax_4
ncm_296,"0303.79.42","Garoupas (Acanthistius spp.)","0",tax_4
ncm_297,"0303.79.43","Tainhas (Mujil spp.)","0",tax_4
ncm_298,"0303.79.44","Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)","0",tax_4
ncm_299,"0303.79.45","Peixes-rei (Atherinidae spp.) ","0",tax_4
ncm_300,"0303.79.46","Merluzas rosadas (Macruronus magellanicus)","0",tax_4
ncm_301,"0303.79.47","Nototenias (Patagonotothen spp.)","0",tax_4
ncm_302,"0303.79.48","Bagres (Ictalurus puntactus)","0",tax_4
ncm_304,"0303.79.51","Curimatãs (Prochilodus spp.)","0",tax_4
ncm_305,"0303.79.52","Tilápias (Oreochromis spp., Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)","0",tax_4
ncm_306,"0303.79.53","Surubins (Pseudoplatystoma spp.)","0",tax_4
ncm_307,"0303.79.54","Traíras (Hoplias malabaricus & H. cf. lacerdae)","0",tax_4
ncm_308,"0303.79.55","Piaus (Leporinus spp.)","0",tax_4
ncm_309,"0303.79.56","Pirarucus (Arapaima gigas)","0",tax_4
ncm_310,"0303.79.57","Anchoitas (Engraulis anchoita)","0",tax_4
ncm_312,"0303.79.61","Piramutabas (Brachyplatistoma vaillianti)","0",tax_4
ncm_313,"0303.79.62","Douradas (Brachyplatistoma flavicans)","0",tax_4
ncm_314,"0303.79.63","Pacus (Piaractus Mesopotamicus)","0",tax_4
ncm_315,"0303.79.64","Tambaquis (Colossoma macropomum)","0",tax_4
ncm_316,"0303.79.65","Tambacus (híbridos de tambaquis e pacus)","0",tax_4
ncm_317,"0303.79.90","Outros","0",tax_4
ncm_318,"0303.80.00","Fígados, ovas e sêmen","0",tax_4
ncm_321,"0304.11.00","Espadartes (Xiphias gladius)","0",tax_4
ncm_322,"0304.12.00","Marlongas (Dissostichus spp.)","0",tax_4
ncm_325,"0304.19.11","Chernes-poveiros (Polyprion americanus)","0",tax_4
ncm_326,"0304.19.12","Garoupas (Acanthistius spp.) ","0",tax_4
ncm_327,"0304.19.13","Bagres (Ictalurus puntactus)","0",tax_4
