"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_79843090","l10n_br_base.br_ms","79843090","S 10","Rua","Chácara Califórnia","l10n_br_base.city_5130","base.br"
"cep_79802021","l10n_br_base.br_ms","79802021","Antônio Emílio de Figueiredo","Rua","Centro","l10n_br_base.city_5130","base.br"
"cep_79830901","l10n_br_base.br_ms","79830901","Rua Ciro Melo, 3841",,"Jardim Paulista","l10n_br_base.city_5130","base.br"
"cep_79801904","l10n_br_base.br_ms","79801904","Avenida Marcelino Pires, 1016",,"Centro","l10n_br_base.city_5130","base.br"
"cep_79800900","l10n_br_base.br_ms","79800900","Avenida Weimar Gonçalves Torres, 1666",,"Centro","l10n_br_base.city_5130","base.br"
"cep_79801902","l10n_br_base.br_ms","79801902","Avenida Joaquim Teixeira Alves, 1750",,"Centro","l10n_br_base.city_5130","base.br"
"cep_79830902","l10n_br_base.br_ms","79830902","Rua Oliveira Marques, 3730",,"Jardim Paulista","l10n_br_base.city_5130","base.br"
"cep_79802900","l10n_br_base.br_ms","79802900","Rua Cuiabá, 1050",,"Centro","l10n_br_base.city_5130","base.br"
"cep_79820901","l10n_br_base.br_ms","79820901","Rua Barão do Rio Branco, 395",,"Jardim Climax","l10n_br_base.city_5130","base.br"
"cep_79801905","l10n_br_base.br_ms","79801905","Avenida Joaquim Teixeira Alves, 2190",,"Centro","l10n_br_base.city_5130","base.br"
"cep_79801906","l10n_br_base.br_ms","79801906","Avenida Joaquim Teixeira Alves, 2692",,"Centro","l10n_br_base.city_5130","base.br"
"cep_79825901","l10n_br_base.br_ms","79825901","Rua Ivinhema, 1725",,"Vila São Luiz","l10n_br_base.city_5130","base.br"
"cep_79825900","l10n_br_base.br_ms","79825900","Rua João Rosa Góes, 1761",,"Vila Progresso","l10n_br_base.city_5130","base.br"
"cep_79824900","l10n_br_base.br_ms","79824900","Rua Balbina de Matos, 2121",,"Jardim Tropical","l10n_br_base.city_5130","base.br"
"cep_79805900","l10n_br_base.br_ms","79805900","Rua Ciro Melo, 2045",,"Jardim Central","l10n_br_base.city_5130","base.br"
"cep_79820900","l10n_br_base.br_ms","79820900","Rua Major Capile, 735",,"Jardim Tropical","l10n_br_base.city_5130","base.br"
"cep_79843180","l10n_br_base.br_ms","79843180","Altamira","Rua","Jardim Jóquei Clube","l10n_br_base.city_5130","base.br"
"cep_79823900","l10n_br_base.br_ms","79823900","Avenida Guaicurus, 8000",,"Parque Alvorada","l10n_br_base.city_5130","base.br"
"cep_79804900","l10n_br_base.br_ms","79804900","Rua João Rosa Góes, 395",,"Jardim América","l10n_br_base.city_5130","base.br"
"cep_79841280","l10n_br_base.br_ms","79841280","Paraguay","Rua","Parque das Nações","l10n_br_base.city_5130","base.br"
"cep_79321467","l10n_br_base.br_ms","79321467","7","Alameda","Conjunto Guana I","l10n_br_base.city_5124","base.br"
"cep_79321512","l10n_br_base.br_ms","79321512","Nair Figueiredo Dobes","Rua","Popular Nova","l10n_br_base.city_5124","base.br"
"cep_79550000","l10n_br_base.br_ms","79550000",,,,"l10n_br_base.city_5125","base.br"
"cep_79400000","l10n_br_base.br_ms","79400000",,,,"l10n_br_base.city_5126","base.br"
"cep_79790000","l10n_br_base.br_ms","79790000",,,,"l10n_br_base.city_5127","base.br"
"cep_79801903","l10n_br_base.br_ms","79801903","Avenida Joaquim Teixeira Alves, 1708",,"Centro","l10n_br_base.city_5130","base.br"
"cep_79880000","l10n_br_base.br_ms","79880000",,,,"l10n_br_base.city_5129","base.br"
