"id","code","description","parent_id:id","country_id:id","state_id:id","city_id:id","internal_type"
"fiscal_operation_service_44","03.02.05","serviços relativos à indústria cinematográfica, correspondentes a receitas de licenciamento para exibição da obra cinematográfica, vinculados a filme estrangeiro","fiscal_operation_service_39","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_45","03.03   ","Exploração de stands, para realização de eventos ou negócios de qualquer natureza.","fiscal_operation_service_38","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_46","03.03.01","exploração de salão de festas","fiscal_operation_service_45","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_47","03.03.02","exploração de centro de convenções","fiscal_operation_service_45","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_48","03.03.03","exploração de escritório virtual","fiscal_operation_service_45","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_49","03.03.04","exploração de stand","fiscal_operation_service_45","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_50","03.03.05","exploração de quadra esportiva","fiscal_operation_service_45","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_51","03.03.06","exploração de estádio","fiscal_operation_service_45","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_52","03.03.07","exploração de ginásio","fiscal_operation_service_45","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_53","03.03.08","exploração de auditório","fiscal_operation_service_45","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_54","03.03.09","exploração de casa de espetáculos","fiscal_operation_service_45","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_55","03.03.10","exploração de parque de diversões","fiscal_operation_service_45","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_56","03.04   ","Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza","fiscal_operation_service_38","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_57","03.04.01","locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovias","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_58","03.04.02","locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de rodovias","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_59","03.04.03","locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de postes","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_60","03.04.04","locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de cabos","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_61","03.04.05","locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de dutos ou condutos de qualquer natureza","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_62","03.04.06","locação, sublocação ou arrendamento de condutos em geral","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_63","03.04.07","cessão de direitos sobre ferrovia","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_64","03.04.08","cessão de direitos sobre rodovia","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_65","03.04.09","cessão de direitos sobre postes","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
