id,name,meaning,start_pos,end_pos,assumed_comma,type,default_value,cnab_line_id/id,notes,sending_dynamic_content,content_source_field,return_dynamic_content,content_dest_field,cnab_group_id/id
cnab_sicredi_240_boleto_header_53_57,Código,Agência Mantenedora da Conta,53,57,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G008,,company_partner_bank_id.bra_number,,,""
cnab_sicredi_240_boleto_header_58_58,DV,Dígito Verificador da Agência,58,58,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G009,,company_partner_bank_id.bra_number_dig,,,""
cnab_sicredi_240_boleto_header_59_70,Número,Número da Conta Corrente,59,70,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G010,,company_partner_bank_id.acc_number,,,""
cnab_sicredi_240_boleto_header_71_71,DV,Dígito Verificador da Conta,71,71,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G011,,company_partner_bank_id.acc_number_dig,,,""
cnab_sicredi_240_boleto_header_72_72,DV,Dígito Verificador da Ag/Conta,72,72,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G012,,,,,""
cnab_sicredi_240_boleto_header_73_102,Nome,Nome da Empresa,73,102,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,G013,,company_id.legal_name,,,""
cnab_sicredi_240_boleto_header_103_142,Informação 1,Mensagem,103,142,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G031,,,,,""
cnab_sicredi_240_boleto_header_143_172,Logradouro,"Nome da Rua, Av, Pça, Etc",143,172,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,G032,,company_id.street_name,,,""
cnab_sicredi_240_boleto_header_173_177,Número,Número do Local,173,177,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,G032,,company_id.street_number,,,""
cnab_sicredi_240_boleto_header_178_192,Complemento,"Casa, Apto, Sala, Etc",178,192,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,G032,,company_id.street2,,,""
cnab_sicredi_240_boleto_header_193_212,Cidade,Cidade,193,212,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,G033,,company_id.city_id.name,,,""
