"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_70322905,"l10n_br_base.br_df","70322905","SHS Quadra 3 Bloco J","","Asa Sul","l10n_br_base.city_5564"
cep_70322910,"l10n_br_base.br_df","70322910","SHS Quadra 4 Bloco D","","Asa Sul","l10n_br_base.city_5564"
cep_70322907,"l10n_br_base.br_df","70322907","SHS Quadra 4 Bloco I","","Asa Sul","l10n_br_base.city_5564"
cep_70322900,"l10n_br_base.br_df","70322900","SHS Quadra 1 Bloco A","","Asa Sul","l10n_br_base.city_5564"
cep_70070907,"l10n_br_base.br_df","70070907","SAUS Quadra 2 Blocos O e P","","Asa Sul","l10n_br_base.city_5564"
cep_70322904,"l10n_br_base.br_df","70322904","SHS Quadra 3 Bloco A","","Asa Sul","l10n_br_base.city_5564"
cep_70332900,"l10n_br_base.br_df","70332900","SRTVS Lote 1","","Asa Sul","l10n_br_base.city_5564"
cep_70410900,"l10n_br_base.br_df","70410900","SES 803 Lote 16","","Asa Sul","l10n_br_base.city_5564"
cep_70712900,"l10n_br_base.br_df","70712900","SCN Quadra 2 Bloco A","","Asa Norte","l10n_br_base.city_5564"
cep_70390905,"l10n_br_base.br_df","70390905","SHLS Conjunto C","","Asa Sul","l10n_br_base.city_5564"
cep_70322915,"l10n_br_base.br_df","70322915","SHS Quadra 6 Blocos A ao F Lote 1","","Asa Sul","l10n_br_base.city_5564"
cep_70702900,"l10n_br_base.br_df","70702900","SHN Quadra 2 Bloco A","","Asa Norte","l10n_br_base.city_5564"
cep_70710934,"l10n_br_base.br_df","70710934","SHN Quadra 4 Bloco B","","Asa Norte","l10n_br_base.city_5564"
cep_70710909,"l10n_br_base.br_df","70710909","SHN Quadra 2 Bloco L","","Asa Norte","l10n_br_base.city_5564"
cep_70818900,"l10n_br_base.br_df","70818900","SCEN Trecho 2","","Asa Norte","l10n_br_base.city_5564"
cep_70830902,"l10n_br_base.br_df","70830902","SGAN 603 Módulos H/J","","Asa Norte","l10n_br_base.city_5564"
