"id","state_id:id","code","street","street_type","district","city_id:id"
cep_57316020,"br_al","57316020","Gerônimo Rocha Lima","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316025,"br_al","57316025","Maragogi","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316030,"br_al","57316030","da Saudade","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316035,"br_al","57316035","Japaratinga","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316100,"br_al","57316100","Maravilha","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316045,"br_al","57316045","Belo Monte","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57315790,"br_al","57315790","Manoel Procópio de Oliveira","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57316060,"br_al","57316060","Governador Silvestre Péricles","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316061,"br_al","57316061","Marechal Deodoro da Fonseca","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316065,"br_al","57316065","Afrânio Salgado Lages","Praça","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316180,"br_al","57316180","Deputado José Lúcio de Melo","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57315850,"br_al","57315850","Lígia Ferreira Silva","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57315750,"br_al","57315750","Maria de Lourdes de Oliveira","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57315760,"br_al","57315760","José Aristides da Silva","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57315770,"br_al","57315770","Cândido Barbosa da Silva","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57315160,"br_al","57315160","Alferes João da Rocha Pires","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57314120,"br_al","57314120","Manoel Marcelino Albuquerque","Rua","Itapoã","l10n_br_data_base.city_1651"
cep_57316340,"br_al","57316340","Jornalista Francisco Guilherme Tobias Granja","Praça","Nova Esperança","l10n_br_data_base.city_1651"
cep_57314060,"br_al","57314060","José Ferreira dos Santos","Rua","Itapoã","l10n_br_data_base.city_1651"
cep_57314070,"br_al","57314070","João Francisco Nascimento","Rua","Itapoã","l10n_br_data_base.city_1651"
cep_57314080,"br_al","57314080","Custódio José de Melo","Rua","Itapoã","l10n_br_data_base.city_1651"
cep_57314090,"br_al","57314090","Alvina Nunes da Silva","Rua","Itapoã","l10n_br_data_base.city_1651"
cep_57314095,"br_al","57314095","Minervina Francisca da Conceição","Avenida","Itapoã","l10n_br_data_base.city_1651"
