"id","code","name","admitted_taxes","date_start","date_end"
"nature_income_12038","12038","Rendimentos distribuídos pelo Fundo de Investimento Imobiliário aos seus cotistas - – Distribuição semestral","IR","2023-09-01",""
"nature_income_12039","12039","Rendimento auferido pelo cotista no resgate de cotas na liquidação do Fundo de Investimento Imobiliário - – Distribuição semestral","IR","2023-09-01","2024-05-20"
"nature_income_12040","12040","Rendimentos e ganhos de capital distribuídos pelo Fundo de Investimento Cultural e Artístico (Ficart)","IR","2023-09-01",""
"nature_income_12041","12041","Rendimentos e ganhos de capital distribuídos pelo Fundo de Financiamento da Indústria Cinematográfica Nacional (Funcines)","IR","2023-09-01",""
"nature_income_12043","12043","Ganho de capital decorrente da integralização de cotas de fundos ou clubes de investimento por meio da entrega de ativos financeiros","IR","2023-09-01",""
"nature_income_12044","12044","Distribuição de Juros sobre o Capital Próprio pela companhia emissora de ações objeto de empréstimo conforme art. 8º da Lei nº 13.043 de 2014","IR","2023-09-01",""
"nature_income_12045","12045","Rendimentos de Partes Beneficiárias ou de Fundador","IR","2023-09-01",""
"nature_income_12046","12046","Rendimentos auferidos em operações de swap","IR","2023-09-01",""
"nature_income_12047","12047","Rendimentos auferidos em operações day trade realizadas em bolsa de valores, de mercadorias, de futuros e assemelhadas","IR","2023-09-01",""
"nature_income_12048","12048","Rendimento decorrente de Operação realizada em bolsas de valores, de mercadorias, de futuros, e assemelhadas, exceto day trade","IR","2023-09-01",""
"nature_income_12049","12049","Rendimento decorrente de Operação realizada no mercado de balcão, com intermediação, tendo por objeto ações, ouro ativo financeiro e outros valores mobiliários negociados no mercado à vista","IR","2023-09-01",""
"nature_income_12050","12050","Rendimento decorrente de Operação realizada em mercados de liquidação futura fora de bolsa","IR","2023-09-01",""
"nature_income_12051","12051","Rendimentos de aplicações financeiras em ativos de infraestrutura - tributação exclusiva - conforme art. 1º da Lei 11.478 de 2007 e arts. 2º e 3º da Lei nº 12.431 de 2011","IR","2023-09-01",""
"nature_income_12052","12052","Juros sobre o Capital Próprio cujos beneficiários não estejam identificados no momento do registro contábil","IR","2023-09-01",""
"nature_income_12053","12053","Rendimentos e ganhos de capital distribuídos e resgate de cotas de Fundo de Investimento nas Cadeias Produtivas do Agronegócio (Fiagro) conforme art. 20-C e D da Lei 8.668 de 1993","IR","2024-05-01",""
"nature_income_12054","12054","Rendimentos distribuídos, resgate ou amortização de cotas de Fundo de Investimento em Participações (FIP) classificado como entidade de investimento (art. 18 da Lei nº 14.754 de 2023)","IR","2024-05-01",""
"nature_income_12055","12055","Rendimentos distribuídos, resgate ou amortização de cotas de Fundo de Investimento em Índice de Mercado (Exchange Traded Fund - ETF) classificado como entidade de investimento (art. 18 da Lei nº 14.754 de 2023)","IR","2024-05-01",""
"nature_income_12056","12056","Rendimentos distribuídos, resgate ou amortização de cotas de Fundo de Investimento em Direitos Creditórios (FIDC) classificado como entidade de investimento (art. 18 da Lei nº 14.754 de 2023)","IR","2024-05-01",""
"nature_income_12057","12057","Rendimentos distribuídos, resgate ou amortização de cotas de Fundo de Investimento em Participações (FIP) não classificado como entidade de investimento e sujeito à tributação periódica (art. 26 da Lei nº 14.754, de 2023)","IR","2024-05-01",""
"nature_income_12058","12058","Rendimentos distribuídos, resgate ou amortização de cotas de Fundo de Investimento em Índice de Mercado (Exchange Traded Fund - ETF) não classificado como entidade de investimento e sujeito à tributação periódica (art. 26 da Lei nº 14.754, de 2023)","IR","2024-05-01",""
"nature_income_12059","12059","Rendimentos distribuídos, resgate ou amortização de cotas de Fundo de Investimento em Direitos Creditórios (FIDC) não classificado como entidade de investimento e sujeito à tributação periódica (art. 26 da Lei nº 14.754, de 2023)","IR","2024-05-01",""
"nature_income_12060","12060","Rendimentos e ganhos de capital auferidos por cotistas de Fundo de Índice de Renda Fixa (ETF) conforme art. 2º da Lei nº 13.043 de 2014","IR","2024-05-01",""
"nature_income_12061","12061","Rendimentos distribuídos, resgate ou amortização de cotas de Fundo Multimercado (FIM) conforme art. 40 da Lei nº 14.754 de 2023","IR","2024-05-01",""
"nature_income_12062","12062","Rendimentos decorrente de debêntures de infraestrutura conforme previsto no art. 4º da Lei nº 14.801 de 2024, quando auferidos pelos fundos isentos no resgate, na amortização e na alienação de cotas ou na distribuição de rendimentos.","IR","2024-05-01",""
"nature_income_12099","12099","Demais rendimentos de Capital","IR","2023-09-01",""
"nature_income_13001","13001","Rendimentos de Aforamento","IR","2023-09-01",""
"nature_income_13002","13002","Rendimentos de Aluguéis, Locação ou Sublocação","IR","2023-09-01",""
"nature_income_13003","13003","Rendimentos de Arrendamento ou Subarrendamento","IR","2023-09-01",""
"nature_income_13004","13004","Importâncias pagas por terceiros por conta do locador do bem (juros, comissões etc.)","IR","2023-09-01",""
"nature_income_13005","13005","Importâncias pagas ao locador pelo contrato celebrado (luvas, prêmios etc.)","IR","2023-09-01",""
"nature_income_13006","13006","Benfeitorias e quaisquer melhoramentos realizados no bem locado","IR","2023-09-01",""
"nature_income_13007","13007","Juros decorrente da alienação a prazo de bens","IR","2023-09-01",""
"nature_income_13008","13008","Rendimentos de Direito de Uso ou Passagem de Terrenos e de aproveitamento de águas","IR","2023-09-01",""
"nature_income_13009","13009","Rendimentos de Direito de colher ou extrair recursos vegetais, pesquisar e extrair recursos minerais","IR","2023-09-01",""
"nature_income_13010","13010","Rendimentos de Direito Autoral","IR","2023-09-01",""
"nature_income_13011","13011","Rendimentos de Direito Autoral (quando não percebidos pelo autor ou criador da obra)","IR","2023-09-01",""
"nature_income_13012","13012","Rendimentos de Direito de Imagem","IR","2023-09-01",""
"nature_income_13013","13013","Rendimentos de Direito de exploração de películas cinematográficas, Obras Audiovisuais, e Videofônicas","IR","2023-09-01",""
"nature_income_13014","13014","Rendimento de Direito relativo a radiodifusão de sons e imagens e serviço de comunicação eletrônica de massa por assinatura","IR","2023-09-01",""
"nature_income_13015","13015","Rendimentos de Direito de Conjuntos Industriais e Invenções","IR","2023-09-01",""
"nature_income_13016","13016","Rendimento de Direito de marcas de indústria e comércio, patentes de invenção e processo ou fórmulas de fabricação","IR","2023-09-01",""
"nature_income_13017","13017","Importâncias pagas por terceiros por conta do cedente dos direitos (juros, comissões etc.)","IR","2023-09-01",""
"nature_income_13018","13018","Importâncias pagas ao cedente do direito, pelo contrato celebrado (luvas, prêmios etc.)","IR","2023-09-01",""
"nature_income_13019","13019","Despesas para conservação dos direitos cedidos (quando compensadas pelo uso do bem ou direito)","IR","2023-09-01",""
"nature_income_13020","13020","Juros de mora e quaisquer outras compensações pelo atraso no pagamento de royalties – decorrente de prestação de serviço","IR","2023-09-01",""
"nature_income_13021","13021","Juros de mora e quaisquer outras compensações pelo atraso no pagamento de royalties - decorrente de aquisição de bens","IR","2023-09-01",""
"nature_income_13022","13022","Juros decorrente da alienação a prazo de direitos – decorrente de prestação de serviço","IR","2023-09-01",""
"nature_income_13023","13023","Juros decorrente da alienação a prazo de direitos – decorrente de aquisição de bens","IR","2023-09-01",""
"nature_income_13024","13024","Alienação de bens e direitos do ativo não circulante localizados no Brasil","IR","2023-09-01",""
"nature_income_13025","13025","Rendimento de Direito decorrente da transferência atleta profissional","IR","2023-09-01",""
"nature_income_13026","13026","Juros e comissões correspondentes à parcela dos créditos de que trata o inciso XI do art. 1º da Lei nº 9.481, de 1997, não aplicada no financiamento de exportações","IR","2023-09-01",""
"nature_income_13098","13098","Demais rendimentos de Royalties","IR","2023-09-01",""
"nature_income_13099","13099","Demais rendimentos de Direito","IR","2023-09-01",""
"nature_income_14001","14001","Prêmios distribuídos, sob a forma de bens e serviços, mediante loterias, concursos e sorteios, exceto a distribuição realizada por meio de vale-brinde","IR","2023-09-01",""
"nature_income_14002","14002","Prêmios distribuídos, sob a forma de dinheiro, mediante loterias, concursos e sorteios, exceto os de antecipação nos títulos de capitalização e os de amortização e resgate das ações das sociedades anônimas","IR","2023-09-01",""
"nature_income_14003","14003","Prêmios de Proprietários e Criadores de Cavalos de Corrida","IR","2023-09-01",""
"nature_income_14004","14004","Benefícios líquidos mediante sorteio de títulos de capitalização, sem amortização antecipada","IR","2023-09-01",""
"nature_income_14005","14005","Benefícios líquidos resultantes da amortização antecipada, mediante sorteio, dos titulos de capitalização e benefícios atribuídos aos portadores de títulos de capitalização nos lucros da empresa emitente","IR","2023-09-01",""
"nature_income_14006","14006","Prêmios distribuídos, sob a forma de bens e serviços, mediante sorteios de jogos de bingo permanente ou eventual","IR","2023-09-01",""
"nature_income_14007","14007","Prêmios distribuídos, em dinheiro, obtido mediante sorteios de jogos de bingo permanente ou eventual","IR","2023-09-01",""
"nature_income_14008","14008","Importâncias correspondentes a multas e qualquer outra vantagem, ainda que a título de indenização, em virtude de rescisão de contrato","IR","2023-09-01",""
"nature_income_14099","14099","Demais Benefícios Líquidos decorrentes de título de capitalização","IR","2023-09-01",""
"nature_income_15001","15001","Importâncias pagas ou creditadas a cooperativas de trabalho relativas a serviços pessoais que lhes forem prestados por associados destas ou colocados à disposição","IR, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15002","15002","Importâncias pagas ou creditadas a associações de profissionais ou assemelhadas, relativas a serviços pessoais que lhes forem prestados por associados destas ou colocados à disposição","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15003","15003","Remuneração de Serviços de administração de bens ou negócios em geral, exceto consórcios ou fundos mútuos para aquisição de bens","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15004","15004","Remuneração de Serviços de advocacia","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15005","15005","Remuneração de Serviços de análise clínica laboratorial","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15006","15006","Remuneração de Serviços de análises técnicas","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15007","15007","Remuneração de Serviços de arquitetura","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15008","15008","Remuneração de Serviços de assessoria e consultoria técnica, exceto serviço de assistência técnica prestado a terceiros e concernente a ramo de indústria ou comércio explorado pelo prestador do serviço;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15009","15009","Remuneração de Serviços de assistência social;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15010","15010","Remuneração de Serviços de auditoria;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15011","15011","Remuneração de Serviços de avaliação e perícia;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15012","15012","Remuneração de Serviços de biologia e biomedicina;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15013","15013","Remuneração de Serviços de cálculo em geral;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15014","15014","Remuneração de Serviços de consultoria;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15015","15015","Remuneração de Serviços de contabilidade;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15016","15016","Remuneração de Serviços de desenho técnico;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15017","15017","Remuneração de Serviços de economia;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15018","15018","Remuneração de Serviços de elaboração de projetos;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15019","15019","Remuneração de Serviços de engenharia, exceto construção de estradas, pontes, prédios e obras assemelhadas;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15020","15020","Remuneração de Serviços de ensino e treinamento;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15021","15021","Remuneração de Serviços de estatística;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15022","15022","Remuneração de Serviços de fisioterapia;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15023","15023","Remuneração de Serviços de fonoaudiologia;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15024","15024","Remuneração de Serviços de geologia;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15025","15025","Remuneração de Serviços de leilão;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15026","15026","Remuneração de Serviços de medicina, exceto aquela prestada por ambulatório, banco de sangue, casa de saúde, casa de recuperação ou repouso sob orientação médica, hospital e pronto-socorro;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15027","15027","Remuneração de Serviços de nutricionismo e dietética;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15028","15028","Remuneração de Serviços de odontologia;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15029","15029","Remuneração de Serviços de organização de feiras de amostras, congressos, seminários, simpósios e congêneres;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15030","15030","Remuneração de Serviços de pesquisa em geral;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15031","15031","Remuneração de Serviços de planejamento;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15032","15032","Remuneração de Serviços de programação;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15033","15033","Remuneração de Serviços de prótese;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15034","15034","Remuneração de Serviços de psicologia e psicanálise;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15035","15035","Remuneração de Serviços de química;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15036","15036","Remuneração de Serviços de radiologia e radioterapia;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15037","15037","Remuneração de Serviços de relações públicas;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15038","15038","Remuneração de Serviços de serviço de despachante;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15039","15039","Remuneração de Serviços de terapêutica ocupacional;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15040","15040","Remuneração de Serviços de tradução ou interpretação comercial;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15041","15041","Remuneração de Serviços de urbanismo;","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
