"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_57035800,"l10n_br_base.br_al","57035800","Professor Eduardo da Mota Trigueiro","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57035680,"l10n_br_base.br_al","57035680","São Francisco de Assis","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57035770,"l10n_br_base.br_al","57035770","Minervo Pimentel","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57062040,"l10n_br_base.br_al","57062040","Edilson de Alcântara","Alameda","Petrópolis","l10n_br_base.city_1695"
cep_57038280,"l10n_br_base.br_al","57038280","Elias Ramos de Araújo","Rua","Cruz das Almas","l10n_br_base.city_1695"
cep_57035660,"l10n_br_base.br_al","57035660","Doutor Odilon Vasconcelos","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57035750,"l10n_br_base.br_al","57035750","Isabelle Gondim Lima","Travessa","Jatiúca","l10n_br_base.city_1695"
cep_57062001,"l10n_br_base.br_al","57062001","Denilma Bulhões","Avenida","Petrópolis","l10n_br_base.city_1695"
cep_57062000,"l10n_br_base.br_al","57062000","Tereza Lucena Quintela Cavalcante","Avenida","Petrópolis","l10n_br_base.city_1695"
cep_57061770,"l10n_br_base.br_al","57061770","do Sol","Rua","Tabuleiro do Martins","l10n_br_base.city_1695"
cep_57062008,"l10n_br_base.br_al","57062008","Carlos Antõnio","Rua","Petrópolis","l10n_br_base.city_1695"
cep_57035596,"l10n_br_base.br_al","57035596","Petes Walmour de Barros Júnior","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57062150,"l10n_br_base.br_al","57062150","José Alves Diniz","Rua","Petrópolis","l10n_br_base.city_1695"
cep_57035580,"l10n_br_base.br_al","57035580","Maria Júlia dos Santos","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57035670,"l10n_br_base.br_al","57035670","Santa Fernanda","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57062003,"l10n_br_base.br_al","57062003","Maria Aparecida","Rua","Petrópolis","l10n_br_base.city_1695"
cep_57035650,"l10n_br_base.br_al","57035650","Pio XII","Conjunto","Jatiúca","l10n_br_base.city_1695"
cep_57035640,"l10n_br_base.br_al","57035640","Professor Lourenço Peixoto","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57035630,"l10n_br_base.br_al","57035630","José Lourenço de Albuquerque","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57035620,"l10n_br_base.br_al","57035620","Desportista Cláudio da Rocha Lima","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57035690,"l10n_br_base.br_al","57035690","Hamilton de Barros Soutinho","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57035600,"l10n_br_base.br_al","57035600","Engenheiro Edson Lobão Barreto","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57035700,"l10n_br_base.br_al","57035700","Júlio Marques Luz","Avenida","Jatiúca","l10n_br_base.city_1695"
cep_57035675,"l10n_br_base.br_al","57035675","Santa Fernanda","Travessa","Jatiúca","l10n_br_base.city_1695"
cep_57045460,"l10n_br_base.br_al","57045460","General Mário Carvalho Lima","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57015430,"l10n_br_base.br_al","57015430","Senador Rui Palmeira","Avenida","Vergel do Lago","l10n_br_base.city_1695"
cep_57015420,"l10n_br_base.br_al","57015420","Vinícius Cansanção","Conjunto","Vergel do Lago","l10n_br_base.city_1695"
cep_57015410,"l10n_br_base.br_al","57015410","Almeida","Vila","Vergel do Lago","l10n_br_base.city_1695"
cep_57015520,"l10n_br_base.br_al","57015520","Radialista Humberto Wanderley","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57045407,"l10n_br_base.br_al","57045407","Juarez Pereira Costa","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57014370,"l10n_br_base.br_al","57014370","Santa Catarina","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57045406,"l10n_br_base.br_al","57045406","Geraldo Lira","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045470,"l10n_br_base.br_al","57045470","Horácio de Souza Lima","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57015480,"l10n_br_base.br_al","57015480","Benjamin Medeiros","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57045450,"l10n_br_base.br_al","57045450","Francisco Aguirre Camargo","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045445,"l10n_br_base.br_al","57045445","Paulo Lôbo Assumpção","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045440,"l10n_br_base.br_al","57045440","Eurico Maciel","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045430,"l10n_br_base.br_al","57045430","Eraldo Lins Cavalcante","Avenida","Barro Duro","l10n_br_base.city_1695"
