"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_95095350","l10n_br_base.br_rs","95095350","Raymundo Alberti","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095160","l10n_br_base.br_rs","95095160","Giácomo Nicoletti","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095281","l10n_br_base.br_rs","95095281","Professora Nelly Veronese Mascia","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095285","l10n_br_base.br_rs","95095285","Maria de David","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095290","l10n_br_base.br_rs","95095290","Maximiliano Danieli","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095295","l10n_br_base.br_rs","95095295","Jorge Martta","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095300","l10n_br_base.br_rs","95095300","Natal Rech","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095075","l10n_br_base.br_rs","95095075","Sargento Venino Vargas","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95088240","l10n_br_base.br_rs","95088240","Orlando Tisott","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088275","l10n_br_base.br_rs","95088275","Wanderlei Franzen","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088280","l10n_br_base.br_rs","95088280","Ruy Cavagnolli","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088290","l10n_br_base.br_rs","95088290","Therezinha de Jesus Matos","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088300","l10n_br_base.br_rs","95088300","Victório Zattera","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088310","l10n_br_base.br_rs","95088310","Vitório Tomazzoni","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088320","l10n_br_base.br_rs","95088320","Carlos Molon","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088330","l10n_br_base.br_rs","95088330","Frei Ambrósio Tondello","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088333","l10n_br_base.br_rs","95088333","Cabo Machado Severo","Avenida","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088340","l10n_br_base.br_rs","95088340","Alberto Roese","Rua","Planalto","l10n_br_base.city_4698","base.br"
