"id","codigo","nome"
"tre_capac_0107","2202","Treinamento em transporte de explosivos em mineração"
"tre_capac_0108","2203","Treinamento em ventilação e supervisão de mina"
"tre_capac_0109","2204","Treinamento periódico das brigadas de emergência"
"tre_capac_0110","2205","Treinamento semestral específico para brigada de emergência"
"tre_capac_0111","2206","Treinamento admissional para trabalhadores em mineração"
"tre_capac_0112","2207","Treinamento específico na função para trabalhadores em mineração"
"tre_capac_0113","2208","Treinamento de reciclagem periódica para trabalhadores em mineração"
"tre_capac_0114","2209","Treinamento de operação de máquinas, equipamentos em mineração"
"tre_capac_0115","2210","Treinamento determinado pela autoridade regional competente"
"tre_capac_0116","2211","Treinamento para membros da CIPAMIN"
"tre_capac_0117","2301","Informações sobre equipamentos de combate ao incêndio"
"tre_capac_0118","2302","Informações sobre procedimentos para evacuação dos locais de trabalho"
"tre_capac_0119","2303","Informações sobre dispositivos de alarme existentes"
"tre_capac_0120","2501","Capacitação nas atividades com resíduos industriais"
"tre_capac_0121","2601","Treinamento em rotulagem de produto químico"
"tre_capac_0122","2901","Treinamento de sinaleiro de operação portuária"
"tre_capac_0123","2902","Treinamento em operações portuárias com produtos perigosos"
"tre_capac_0124","2903","Treinamento simulado de emergência de operações portuárias"
"tre_capac_0125","3001","Treinamento de emergências – Pescadores profissionais"
"tre_capac_0126","3002","Exercício anual de salvamento"
"tre_capac_0127","3003","Treinamento em radiocomunicação"
"tre_capac_0128","3004","Treinamento de utilização de extintores de incêndio"
"tre_capac_0129","3005","Treinamento Curso Básico NR10 para trabalho em plataformas e instalações de apoio"
"tre_capac_0130","3101","Treinamento para os membros da CIPATR"
"tre_capac_0131","3102","Treinamento sobre prevenção de acidentes com agrotóxicos"
"tre_capac_0132","3103","Treinamento complementar"
"tre_capac_0133","3104","Treinamento para empregados que manuseiam agrotóxicos"
"tre_capac_0134","3105","Treinamento em operação de máquinas e implementos agrícolas no meio rural"
"tre_capac_0135","3106","Treinamento para operadores de motosserra, motopoda e similares"
"tre_capac_0136","3107","Treinamento de reciclagem do trabalhador rural"
"tre_capac_0137","3108","Treinamento primeiros socorros – estabelecimento rural"
"tre_capac_0138","3109","Treinamento para conservação, manutenção, limpeza e utilização de equipamentos de aplicação de agrotóxicos"
"tre_capac_0139","3201","Treinamento em riscos biológicos em serviços de saúde – admissional"
"tre_capac_0140","3202","Treinamento em riscos biológicos em serviços de saúde – continuado"
"tre_capac_0141","3301","Treinamento sobre os riscos, as medidas de controle, de emergência e salvamento em espaços confinados – continuado"
"tre_capac_0142","3302","Fornecimento de informações às contratadas"
"tre_capac_0143","3303","Capacitação para os trabalhadores envolvidos direta ou indiretamente com espaços confinados"
"tre_capac_0144","3304","Treinamento inicial em espaços confinados – Trabalhadores Autorizados"
