"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_64077140","l10n_br_base.br_pi","64077140","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077150","l10n_br_base.br_pi","64077150","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077160","l10n_br_base.br_pi","64077160","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077170","l10n_br_base.br_pi","64077170","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077180","l10n_br_base.br_pi","64077180","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077190","l10n_br_base.br_pi","64077190","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077200","l10n_br_base.br_pi","64077200","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077012","l10n_br_base.br_pi","64077012","Onze","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64062280","l10n_br_base.br_pi","64062280","Publicitário Nelson Rosa","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64062190","l10n_br_base.br_pi","64062190","Maria Júlia Santos","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64062200","l10n_br_base.br_pi","64062200","Aviador Rossine Luna","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64062210","l10n_br_base.br_pi","64062210","Professora Manoca Nobre","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64062220","l10n_br_base.br_pi","64062220","Áurea Martins","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64062230","l10n_br_base.br_pi","64062230","Professora Ana Bugyja","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64062380","l10n_br_base.br_pi","64062380","Doutor José Luiz Vilhena","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64062250","l10n_br_base.br_pi","64062250","Professora Antonieta Burlamaqui","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64077030","l10n_br_base.br_pi","64077030","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64062270","l10n_br_base.br_pi","64062270","Abel Lima de Santana","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64076415","l10n_br_base.br_pi","64076415","Sumaré","Rua","Extrema","l10n_br_base.city_881","base.br"
"cep_64062300","l10n_br_base.br_pi","64062300","Engenheiro Antônio Furtado","Rua","Morros","l10n_br_base.city_881","base.br"
