id,name,code,description,legal_ref
tax_411041162,ISSQN incidente sobre a operação,411041162,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411041211,Despesa de captação de recursos,411041211,"Classificar nesse código as rubricas contábeis representativas dos valores pagos para captação interna de recursos. Esse código deve ser utilizado somente por empresas exclusivamente arrendadoras, em relação às receitas obtidas com contribuintes do IBS e da CBS do Regime Regular. Observações: 1. Ao final de cada competência a empresa deve fazer o cálculo do rateio das despesas de captação, na proporção das receitas tributáveis obtidas com contribuintes e com não contribuintes do IBS e da CBS, nos termos da legislação aplicável. 2. No caso de bancos múltiplos, com carteira de arrendamento, utilizar o código de Despesa de Captação relativo ao serviços de Crédito, Câmbio e TVM, para que seja feito o rateio proporcional a cada atividade.","LC 214/2025 Art. 201, II, a"
tax_411041261,PIS/Cofins incidente sobre a operação,411041261,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411041262,ISSQN incidente sobre a operação,411041262,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411042161,PIS/Cofins incidente sobre a operação,411042161,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411042162,ISSQN incidente sobre a operação,411042162,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411042261,PIS/Cofins incidente sobre a operação,411042261,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411042262,ISSQN incidente sobre a operação,411042262,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411047001,Despesas reconhecidas por competência e dedutíveis por caixa,411047001,"Classificar nesse código as rubricas contábeis relativas ao registro das despesas por regime de competência, mas que serão dedutíveis da base de cálculo do IBS/CBS pelo regime de caixa.",
tax_411048099,Outras despesas não dedutíveis,411048099,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411051101,"Despesas com intermediação de consórcio, individualizável a cada cota de consórcio",411051101,"Classificar nesse código as rubricas contábeis representativas dos valores pagos pela intermediação na venda de cotas de consórcio, individualizável a cada cota de consórcio e devidamente comprovado por meio de documento fiscal idôneo, emitido pelo intermediador.","LC 214/2025 Art. 204, § 1º"
tax_411056001,PIS/Cofins incidente sobre a operação,411056001,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411056002,ISSQN incidente sobre a operação,411056002,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411057001,Despesas reconhecidas por competência e dedutíveis por caixa,411057001,"Classificar nesse código as rubricas contábeis relativas ao registro das despesas por regime de competência, mas que serão dedutíveis da base de cálculo do IBS/CBS pelo regime de caixa.",
tax_411058001,Valor pago relativo a serviços de intermediação não individualizável a cada cota de consórcio,411058001,"Classificar nesse código as rubricas contábeis representativas dos valores pagos a corretores de consórcio, mas que não sejam vinculados ao valor da cota de consórcio. Por exemplo: Valores pagos por atingimento de metas de vendas. Nessa hipótese o contribuinte poderá se creditar do valor constante no documento fiscal.","Dec. 12955/2026 Art. 299, § 3º Art. 299, § 3º"
tax_411058099,Outras despesas não dedutíveis,411058099,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411061601,PIS/Cofins incidente sobre a operação,411061601,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411061602,ISSQN incidente sobre a operação,411061602,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411061899,Outras despesas não dedutíveis,411061899,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411062601,PIS/Cofins incidente sobre a operação,411062601,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411062602,ISSQN incidente sobre a operação,411062602,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411062899,Outras despesas não dedutíveis,411062899,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411071601,PIS/Cofins incidente sobre a operação,411071601,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
